"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"5- Methylthioadenosine","NA","NA","NA","NA","NA","0"
"Acetyl proline","NA","NA","NA","NA","NA","0"
"Adenine","Adenine","HMDB0000034","190","C00147","C1=NC2=C(N1)C(=NC=N2)N","1"
"Aspartate","L-Aspartic acid","HMDB0000191","5960","C00049","C([C@@H](C(=O)O)N)C(=O)O","1"
"CDP-Choline","Citicoline","HMDB0001413","13804","C00307","C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O","1"
"Cystathionine","L-Cystathionine","HMDB0000099","439258","C02291","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","1"
"Feature 100","NA","NA","NA","NA","NA","0"
"Feature 101","NA","NA","NA","NA","NA","0"
"Feature 102","NA","NA","NA","NA","NA","0"
"Feature 103","NA","NA","NA","NA","NA","0"
"Feature 104","NA","NA","NA","NA","NA","0"
"Feature 105","NA","NA","NA","NA","NA","0"
"Feature 106","NA","NA","NA","NA","NA","0"
"Feature 107","NA","NA","NA","NA","NA","0"
"Feature 108","NA","NA","NA","NA","NA","0"
"Feature 109","NA","NA","NA","NA","NA","0"
"Feature 110","NA","NA","NA","NA","NA","0"
"Feature 112","NA","NA","NA","NA","NA","0"
"Feature 113","NA","NA","NA","NA","NA","0"
"Feature 114","NA","NA","NA","NA","NA","0"
"Feature 115","NA","NA","NA","NA","NA","0"
"Feature 116","NA","NA","NA","NA","NA","0"
"Feature 117","NA","NA","NA","NA","NA","0"
"Feature 118","NA","NA","NA","NA","NA","0"
"Feature 125","NA","NA","NA","NA","NA","0"
"Feature 126","NA","NA","NA","NA","NA","0"
"Feature 127","NA","NA","NA","NA","NA","0"
"Feature 128","NA","NA","NA","NA","NA","0"
"Feature 129","NA","NA","NA","NA","NA","0"
"Feature 130","NA","NA","NA","NA","NA","0"
"Feature 132","NA","NA","NA","NA","NA","0"
"Feature 133","NA","NA","NA","NA","NA","0"
"Feature 134","NA","NA","NA","NA","NA","0"
"Feature 137","NA","NA","NA","NA","NA","0"
"Feature 138","NA","NA","NA","NA","NA","0"
"Feature 139","NA","NA","NA","NA","NA","0"
"Feature 140","NA","NA","NA","NA","NA","0"
"Feature 141","NA","NA","NA","NA","NA","0"
"Feature 18","NA","NA","NA","NA","NA","0"
"Feature 19","NA","NA","NA","NA","NA","0"
"Feature 28","NA","NA","NA","NA","NA","0"
"Feature 29","NA","NA","NA","NA","NA","0"
"Feature 32","NA","NA","NA","NA","NA","0"
"Feature 34","NA","NA","NA","NA","NA","0"
"Feature 39","NA","NA","NA","NA","NA","0"
"Feature 5","NA","NA","NA","NA","NA","0"
"Feature 51","NA","NA","NA","NA","NA","0"
"Feature 52","NA","NA","NA","NA","NA","0"
"Feature 55","NA","NA","NA","NA","NA","0"
"Feature 6","NA","NA","NA","NA","NA","0"
"Feature 60","NA","NA","NA","NA","NA","0"
"Feature 68","NA","NA","NA","NA","NA","0"
"Feature 70","NA","NA","NA","NA","NA","0"
"Feature 71","NA","NA","NA","NA","NA","0"
"Feature 72","NA","NA","NA","NA","NA","0"
"Feature 73","NA","NA","NA","NA","NA","0"
"Feature 74","NA","NA","NA","NA","NA","0"
"Feature 76","NA","NA","NA","NA","NA","0"
"Feature 77","NA","NA","NA","NA","NA","0"
"Feature 78","NA","NA","NA","NA","NA","0"
"Feature 79","NA","NA","NA","NA","NA","0"
"Feature 81","NA","NA","NA","NA","NA","0"
"Feature 82","NA","NA","NA","NA","NA","0"
"Feature 83","NA","NA","NA","NA","NA","0"
"Feature 85","NA","NA","NA","NA","NA","0"
"Feature 86","NA","NA","NA","NA","NA","0"
"Feature 87","NA","NA","NA","NA","NA","0"
"Feature 88","NA","NA","NA","NA","NA","0"
"Feature 90","NA","NA","NA","NA","NA","0"
"Feature 91","NA","NA","NA","NA","NA","0"
"Feature 92","NA","NA","NA","NA","NA","0"
"Feature 93","NA","NA","NA","NA","NA","0"
"Feature 94","NA","NA","NA","NA","NA","0"
"Feature 95","NA","NA","NA","NA","NA","0"
"Feature 96","NA","NA","NA","NA","NA","0"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","71920","C00670","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"Glycerophosphocholine ","NA","NA","NA","NA","NA","0"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","C1=NC2=C(N1)C(=O)N=CN2","1"
"L-Palmitoylcarnitine","L-Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"N-acetyl-glutamine","NA","NA","NA","NA","NA","0"
"Nicotinamide riboside","Nicotinamide riboside","HMDB0000855","439924","C03150","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N","1"
"Nicotinate","Nicotinic acid","HMDB0001488","938","C00253","C1=CC(=CN=C1)C(=O)O","1"
"o-acetyl-L-serine","O-Acetylserine","HMDB0003011","99478","C00979","CC(=O)OC[C@@H](C(=O)O)N","1"
"O-Decanoyl-L-carnitine","O-decanoyl-L-carnitine","HMDB0062631","11953821","C03299","[H][C@@](CC([O-])=O)(C[N+](C)(C)C)OC(=O)CCCCCCCCC","1"
"Taurine","Taurine","HMDB0000251","1123","C00245","C(CS(=O)(=O)O)N","1"
